Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3880999464.77107,,1857,9.99996,9.99996,30000.174,9.8999999E-6,10.13252,0.22027863,12.42569,0.08855,13.427238,0.08028,25.852929,0.08855,0.50578351,2.2424007,0.071453624,88.021634,270.87286,2.454,1,,,,1.1903891E-5,5.0730242,102.66797,1.2263178,0
3880999591.46119,,1857,10.6779,10.6779,30000.232,9.8999999E-6,10.75107,0.20386473,14.919977,0.1327,15.566447,0.08678,30.486424,0.1327,6.4463097,2.4949462,0.085727478,87.124529,270.40621,2.607,1,,,,1.2667752E-5,4.4848014,115.5855,1.3877667,0
3880999720.06528,,1857,11.3559,11.3559,30000.27,9.8999999E-6,11.404136,0.22030428,17.915616,0.1182,17.80379,0.1038,35.719406,0.1182,0.32478553,2.7203393,0.091701368,87.31766,269.86085,2.398,1,,,,1.3627661E-5,4.9898923,130.05431,1.5709754,0
3880999850.46105,,1857,12.034,12.034,30000.281,9.8999999E-6,12.066433,0.2330103,21.503978,0.1733,20.137282,0.144,41.64126,0.1733,0.13906609,2.988567,0.10118353,87.199211,268.67486,2.516,1,,,,1.4498915E-5,5.4406787,145.59881,1.7821321,0
3880999983.43508,,1857,12.7121,12.7121,30000.281,9.8999999E-6,12.738993,0.24942934,25.536569,0.2503,22.59791,0.2337,48.134479,0.2503,4.1034676,3.2570466,0.11002537,87.141664,267.85604,2.661,1,,,,1.5414749E-5,5.977134,162.28195,2.0045987,0
3881000116.10802,,1857,13.3898,13.3898,30000.404,9.8999999E-6,13.414217,0.26321894,29.994532,0.4174,25.268393,0.4033,55.262926,0.4174,3.001715,3.5451896,0.12081114,86.941073,267.32342,3.015,1,,,,1.6303388E-5,6.5140933,179.94122,2.2360256,0
3881000252.01627,,1857,14.0677,14.0677,30000.342,9.8999999E-6,14.092766,0.27934832,34.888886,0.6659,28.129302,0.6439,63.018188,0.6659,0.88136882,3.8251459,0.12915182,86.959693,267.04427,3.459,1,,,,1.7259717E-5,7.0903793,198.60605,2.4756592,0
3881000390.00356,,1857,14.7457,14.7457,30000.367,9.8999999E-6,14.770822,0.29301131,40.127568,0.9466,31.191907,0.9256,71.319475,0.9466,4.5162098,4.1450582,0.1432324,86.572749,267.13734,3.849,1,,,,1.8082538E-5,7.6502918,218.17717,2.7166781,0
3881000528.28543,,1857,15.4237,15.4237,30000.426,9.8999999E-6,15.451739,0.30945899,45.909614,1.19,34.415284,1.176,80.324898,1.19,4.8267928,4.4595653,0.15602387,86.306483,267.18503,4.05,1,,,,1.8981106E-5,8.2901164,238.75624,2.9711616,0
3881000670.02088,,1857,16.1014,16.1014,30000.318,9.8999999E-6,16.133309,0.32496509,52.158759,1.295,37.813191,1.278,89.97195,1.295,4.0584486,4.770873,0.16786236,86.124542,267.34252,3.961,1,,,,1.9919109E-5,8.9191306,260.28364,3.2329859,0
3881000812.71215,,1857,16.7797,16.7797,30000.281,9.8999999E-6,16.817976,0.33762194,58.841797,1.194,41.510267,1.186,100.35206,1.194,2.6879822,5.124103,0.18441342,85.720663,267.6966,3.577,1,,,,2.0750416E-5,9.541746,282.8443,3.4987444,0
3881000958.01568,,1857,17.4577,17.4577,30000.307,9.8999999E-6,17.500874,0.35325419,65.695944,1.064,45.721726,1.056,111.41767,1.064,3.013843,5.46868,0.20231205,85.28145,268.50142,3.234,1,,,,2.1646301E-5,10.248206,306.28058,3.7538665,0
