[Header]
TITLE,NiS2_14_12_2022+9T.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,5,MASS:Sample Mass (mg)
INFO,0.5,MASSERR:Sample Mass Error (mg)
INFO,122.82,MOLWGHT:Formula Weight (g/mole)
INFO,3,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3880272127.49607,Error: Temperature of platform does not match the system temperature : System = 2.9998 K;  Platform = 3.5352 K
3880272274.55207,Error: 045b-Timeout: WaitUntilThermNoChange() Timeout after 102.843861250605 seconds.  Will try again...
3880272334.53616,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\Standard\Puck1992.cal|Addenda #162 measured on 12/14/2022 from 2.4497 to 301.67 K
3880272334.5378,,1857,2.99998,2.99998,90000.422,9.8999999E-6,2.8107112,0.060586041,0.24453935,0.01246,0.62101797,0.003733,0.86555732,0.01246,0.56137301,0.35015212,0.0039201564,94.721243,278.30529,14.02,1,,,,2.4830674E-6,0.69831513,7.9000975,0.087002661,0
3880272468.88891,Error: Warning:  Measured time constant less than time constant calculated from addenda table.  Changing time constant to addenda table value
3880272539.25577,,1857,7.30449,7.30449,90000.211,9.8999999E-6,6.9290433,0.13978743,3.6887588,0.1235,5.6516682,0.02266,9.3404269,0.1235,1.4584807,1.3118024,0.0097586661,96.951857,277.67363,12.51,1,,,,7.1554775E-6,2.521169,48.011641,0.53236191,0
3880272666.43631,Error: Warning:  Measured time constant less than time constant calculated from addenda table.  Changing time constant to addenda table value
3880272861.13841,,1857,11.6086,11.6086,90000.352,9.8999999E-6,11.122042,0.23693127,15.294972,0.2778,18.662865,0.05698,33.957837,0.2778,0.91115044,2.6797006,0.02350981,96.528308,277.43158,11.18,1,,,,1.2765536E-5,5.4166878,123.69982,1.3751946,0
3880273329.23696,,1857,15.9123,15.9123,90000.352,9.8999999E-6,15.5387,0.33425795,41.355199,0.4417,40.892278,0.1168,82.247477,0.4417,0.39270526,4.389555,0.033315984,97.008336,278.215,10.56,1,,,,1.8884304E-5,8.6898201,241.45118,2.6614324,0
3880273946.70348,,1857,20.2178,20.2178,90000.18,9.8999999E-6,19.773657,0.43817671,85.174967,0.7261,70.076427,0.1899,155.25139,0.7261,1.8825513,6.5279989,0.044926485,97.250757,278.12561,10.42,1,,,,2.3986163E-5,13.228405,390.99753,4.3074969,0
3880274763.6656,,1857,24.5216,24.5216,90000.289,9.8999999E-6,24.077007,0.53606711,165.11632,0.7262,106.77053,0.3225,271.88685,0.7262,0.69193584,9.5303331,0.063032609,97.246091,270.66695,10.06,1,,,,2.8828545E-5,19.297987,579.70227,6.8578424,0
3880275887.2754,Error: Temperature of platform does not match the system temperature : System = 2.9964 K;  Platform = 13.597 K
3880275887.33642,Error: Error at T = 3 K while attempting to measure time window: The requested temperature rise delT = 0.281112195001038 will produce a resistance change of only delRtrip = -5.82969620309359.  However; I measure the noise to be SigmaThRes = 0.701882419452557
3880275887.37831,Error: Using default time-constant of 1.498 seconds
3880276074.0909,Error: 045b-Timeout: WaitUntilThermNoChange() Timeout after 151.298 seconds.  Will try again...
3880276260.87698,Error: 045b-Timeout: WaitUntilThermNoChange() Timeout after 151.298 seconds.  Will try again...
3880276447.415,Error: 045b-Timeout: WaitUntilThermNoChange() Timeout after 151.298 seconds.  Will try again...
3880276632.36355,,1857,2.99978,2.99978,90000.211,9.8999999E-6,2.8063416,0.059511377,0.24435214,0.04516,0.61980432,0.003716,0.86415645,0.045,2.4021789,0.34293985,,,277.94358,24.34,1,,,,2.5198484E-6,0.70253289,7.8755534,0.087071415,0
3880276744.50838,,1857,3.15933,3.15933,90000.117,9.8999999E-6,2.9502202,0.059265856,0.30063106,0.06131,0.66561416,0.004284,0.96624522,0.06116,3.0850091,0.36315806,,,272.68703,25.21,1,,,,2.660674E-6,0.68587971,8.7037992,0.10190123,0
3880276857.0768,,1857,3.32692,3.32692,90000.164,9.8999999E-6,3.1103485,0.062006577,0.36662561,0.05135,0.72758331,0.004917,1.0942089,0.05111,0.16848784,0.38744119,,,269.08506,20.39,1,,,,2.8241936E-6,0.72631612,9.6742679,0.11787284,0
