Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
28.277076,628.31814,495.70526,-0.25465
28.326797,642.77687,509.68561,-0.25465
28.374474,652.18963,518.63906,-0.25465
28.420581,661.86936,527.87409,-0.25465
28.465178,671.30036,536.87443,-0.25465
28.50832,681.1864,546.34337,-0.25465
28.550093,691.18197,555.93463,-0.25465
28.590549,702.01417,566.37485,-0.25465
28.629705,712.19661,576.17749,-0.25465
28.667651,722.42466,586.03711,-0.25465
28.704368,733.28496,596.54056,-0.25465
28.739956,744.72464,607.63401,-0.25465
28.774397,756.90876,619.48274,-0.25465
28.807798,768.97444,631.22286,-0.25465
28.840141,781.01321,642.9461,-0.25465
28.871454,792.94427,654.57142,-0.25465
28.901808,805.9853,667.31581,-0.25465
28.931231,818.80235,679.84509,-0.25465
28.959784,832.47997,693.24321,-0.25465
28.98741,846.44488,706.93749,-0.25465
29.014233,859.33348,719.56314,-0.25465
29.040208,874.11223,734.08706,-0.25465
29.065388,890.22297,749.9506,-0.25465
29.089769,906.99631,766.48443,-0.25465
29.113393,923.33077,782.58665,-0.25465
29.136282,942.00373,801.03447,-0.25465
29.158434,957.93041,816.74311,-0.25465
29.179898,976.46065,835.06197,-0.25465
29.200684,996.05091,854.44742,-0.25465
29.22082,1016.7403,874.93825,-0.25465
29.240285,1038.0594,896.06535,-0.25465
29.259146,1060.8966,918.71644,-0.25465
29.277356,1083.4749,941.1149,-0.25465
29.294957,1109.3918,966.85794,-0.25465
29.311992,1135.1437,992.44146,-0.25465
29.32846,1160.8656,1018.0005,-0.25465
29.344361,1189.6216,1046.5993,-0.25465
29.359706,1218.6683,1075.4941,-0.25465
29.374512,1250.459,1107.1383,-0.25465
29.388783,1288.9256,1145.4636,-0.25465
29.402527,1326.5329,1182.9347,-0.25465
29.415685,1370.1592,1226.4306,-0.25465
29.428322,1418.3493,1274.4954,-0.25465
29.440256,1487.2402,1343.2679,-0.25465
29.451339,1595.8329,1451.7507,-0.25465
29.461414,1773.4952,1629.3131,-0.25465
29.470274,2046.35,1902.08,-0.25465
29.47794,2452.557,2308.2108,-0.25465
29.484362,2968.7397,2824.3298,-0.25465
29.489716,3572.8274,3428.3644,-0.25465
29.494222,4161.7748,4017.2669,-0.25465
29.498127,4634.7965,4490.2499,-0.25465
29.501646,5012.3943,4867.8128,-0.25465
29.504886,5311.7972,5167.1835,-0.25465
29.507893,5625.308,5480.6644,-0.25465
29.510732,5992.7882,5848.1164,-0.25465
29.513363,6501.0651,6356.3671,-0.25465
29.515823,7011.0821,6866.3597,-0.25465
29.518084,7602.2632,7457.5183,-0.25465
29.52021,8038.8003,7894.0343,-0.25465
29.522248,8353.1983,8208.412,-0.25465
29.524194,8480.0876,8335.282,-0.25465
29.526168,8411.4983,8266.6731,-0.25465
29.528124,8185.346,8040.5013,-0.25465
29.530118,8096.3922,7951.5278,-0.25465
29.532108,8042.8295,7897.9452,-0.25465
29.534108,8027.5238,7882.6197,-0.25465
29.536071,8348.455,8203.5314,-0.25465
29.537976,8591.7822,8446.8396,-0.25465
29.539877,8676.3237,8531.3621,-0.25465
29.541739,8770.2589,8625.2789,-0.25465
29.543569,8841.362,8696.3638,-0.25465
29.545327,8937.3763,8792.3606,-0.25465
29.547131,9051.2406,8906.2069,-0.25465
29.548951,9052.219,8907.1673,-0.25465
29.550703,9044.5539,8899.4848,-0.25465
29.552432,9129.9538,8984.8674,-0.25465
29.554173,9094.5962,8949.4926,-0.25465
29.555962,9155.2867,9010.1652,-0.25465
29.557744,9037.6814,8892.5422,-0.25465
29.559497,8796.8931,8651.7365,-0.25465
29.561307,8605.8439,8460.6692,-0.25465
29.563171,8509.691,8364.4978,-0.25465
29.565041,8434.714,8289.5022,-0.25465
29.566954,8215.7825,8070.5517,-0.25465
29.56887,8071.1982,7925.9483,-0.25465
29.57077,8211.0424,8065.7736,-0.25465
29.572678,8288.9537,8143.6659,-0.25465
29.574547,8458.1988,8312.8925,-0.25465
29.576373,8815.5033,8670.1788,-0.25465
29.578168,8824.3864,8679.044,-0.25465
29.579944,8775.6392,8630.2791,-0.25465
29.581731,8865.7553,8720.3774,-0.25465
29.583475,8827.7223,8682.3271,-0.25465
29.5852,8916.7788,8771.3664,-0.25465
29.586977,8985.3723,8839.9422,-0.25465
29.588727,8901.3298,8755.8823,-0.25465
29.590491,8737.9708,8592.5058,-0.25465
29.592287,8500.5219,8355.0389,-0.25465
29.594107,8314.3006,8168.7996,-0.25465
29.59598,8252.4954,8106.9756,-0.25465
29.597872,8057.0789,7911.5404,-0.25465
29.599807,7895.0708,7749.513,-0.25465
29.601769,7762.4156,7616.8383,-0.25465
