Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3880966654.63738,,1857,9.99944,9.99944,10000.36,9.8999999E-6,10.457131,0.22673495,13.586159,0.1153,14.616702,-0.103,28.202861,0.1153,0.41733659,2.3112391,0.073745647,88.005161,271.35332,2.58,1,,,,1.2601596E-5,5.0730242,109.3516,1.2992243,0
3880966783.08355,,1857,10.6778,10.6778,10000.349,9.8999999E-6,11.001304,0.20677859,15.968077,0.1538,16.566236,-0.1454,32.534313,0.1538,0.28522233,2.5547523,0.089106536,86.938365,270.50879,2.673,1,,,,1.321302E-5,4.6224782,121.02868,1.4514714,0
3880966913.02507,,1857,11.3554,11.3554,10000.36,9.8999999E-6,11.592906,0.22300431,18.77872,0.08907,18.676369,-0.05957,37.455089,0.08907,1.5258365,2.7636073,0.095457335,87.023384,270.05883,2.235,1,,,,1.4079886E-5,5.1095046,134.39548,1.6198458,0
3880967044.16131,,1857,12.0337,12.0337,10000.349,9.8999999E-6,12.202062,0.23411452,22.107964,0.1729,20.91444,0.1478,43.022404,0.1729,1.3932899,3.0049641,0.10404696,86.937498,269.19769,2.5,1,,,,1.49064E-5,5.5272147,148.89032,1.811822,0
3880967177.21918,,1857,12.712,12.712,10000.3,9.8999999E-6,12.830459,0.24911485,25.944998,0.4644,23.27081,0.4467,49.215808,0.4644,1.7131314,3.2690873,0.11338434,86.837615,268.35605,3.373,1,,,,1.5712892E-5,6.0099283,164.62067,2.0221411,0
3880967309.95905,,1857,13.39,13.39,10000.313,9.8999999E-6,13.472337,0.26245794,30.35051,0.8061,25.7752,0.7907,56.12571,0.8061,0.69609227,3.5472912,0.1223127,86.81011,267.42765,4.106,1,,,,1.6551419E-5,6.5381746,181.50385,2.2528022,0
3880967446.22658,,1857,14.0674,14.0674,10000.324,9.8999999E-6,14.127428,0.27835329,35.24516,1.127,28.400256,1.117,63.645416,1.127,6.5659228,3.8421275,0.13254921,86.685984,266.79585,4.557,1,,,,1.7374667E-5,7.0945824,199.58423,2.4948037,0
3880967584.29158,,1857,14.7454,14.7454,10000.349,9.8999999E-6,14.791728,0.2924519,40.692955,1.385,31.211463,1.371,71.904418,1.385,4.338436,4.153576,0.14349422,86.538825,266.27025,4.723,1,,,,1.8206413E-5,7.684255,218.79521,2.7510616,0
3880967723.45329,,1857,15.4237,15.4237,10000.36,9.8999999E-6,15.464176,0.30833891,46.531729,1.517,34.280038,1.508,80.811767,1.517,1.4817827,4.4523662,0.15410553,86.394634,266.2024,4.604,1,,,,1.9133853E-5,8.3071521,239.14074,3.0090015,0
3880967864.18168,,1857,16.1017,16.1017,10000.36,9.8999999E-6,16.139731,0.32325069,52.845825,1.497,37.741097,1.492,90.586921,1.497,3.7110539,4.8081105,0.17061428,85.958605,266.28362,4.243,1,,,,1.9928662E-5,8.9047323,260.49093,3.2742691,0
3880968008.15682,,1857,16.7797,16.7797,10000.373,9.8999999E-6,16.822611,0.33702307,59.361664,1.313,41.728439,1.308,101.0901,1.313,0.90990629,5.1419025,0.18653696,85.596415,266.98514,3.726,1,,,,2.0846456E-5,9.6162209,283.00025,3.528683,0
3880968153.04215,,1857,17.4575,17.4575,10000.373,9.8999999E-6,17.501782,0.35144593,66.282576,1.051,46.043419,1.041,112.326,1.051,3.0595102,5.4965187,0.20557987,85.116619,267.71892,3.196,1,,,,2.1731662E-5,10.283805,306.31237,3.7871902,0
3880968300.79624,,1857,18.1353,18.1353,10000.349,9.8999999E-6,18.182553,0.36602557,73.749243,0.8063,50.62576,0.7841,124.375,0.8063,6.1029581,5.876769,0.22711479,84.58549,268.38195,2.776,1,,,,2.2578208E-5,10.993037,330.60523,4.0560445,0
3880968450.53022,,1857,18.8134,18.8134,10000.336,9.8999999E-6,18.862529,0.37933885,81.81521,0.6432,55.423252,0.6107,137.23846,0.6432,5.3594218,6.2725882,0.24972961,84.072917,268.91203,2.514,1,,,,2.3417724E-5,11.753538,355.79498,4.3374466,0
3880968603.43455,,1857,19.4914,19.4914,10000.373,9.8999999E-6,19.543277,0.39382813,90.608457,0.5422,60.502344,0.5075,151.1108,0.5422,4.7028608,6.6952659,0.27366935,83.589272,269.24306,2.355,1,,,,2.4236066E-5,12.545176,381.93967,4.6362981,0
3880968758.45093,,1857,20.1694,20.1694,10000.36,9.8999999E-6,20.22636,0.40821658,99.804416,0.474,66.063775,0.4393,165.86819,0.474,1.1602587,7.1256525,0.3003771,83.042948,269.75108,2.254,1,,,,2.5080411E-5,13.390532,409.10564,4.9343736,0
3880968917.13479,,1857,20.8473,20.8473,10000.373,9.8999999E-6,20.908033,0.42166471,109.73145,0.4322,72.152109,0.3806,181.88356,0.4322,2.4405821,7.5949055,0.33141312,82.423712,270.08006,2.19,1,,,,2.5898913E-5,14.251305,437.14584,5.2482915,0
