Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
27.802961,535.40591,407.48024,50000.383
27.932467,552.70533,423.53687,50000.383
28.054071,568.90614,438.56697,50000.383
28.168847,586.26032,454.81284,50000.383
28.277255,604.09396,471.59665,50000.383
28.379804,621.14636,487.65327,50000.383
28.476558,639.98012,505.5451,50000.383
28.568176,658.79908,523.46995,50000.383
28.654838,679.27611,543.09929,50000.383
28.737068,700.13033,563.14739,50000.383
28.814798,723.18399,585.43746,50000.383
28.88818,745.95942,607.4906,50000.383
28.95799,770.3676,631.21035,50000.383
29.023868,796.91093,657.10288,50000.383
29.08628,826.32225,685.8966,50000.383
29.145096,856.58537,715.57678,50000.383
29.200787,890.23904,748.67764,50000.383
29.25324,930.12625,788.04345,50000.383
29.302576,968.76451,826.19063,50000.383
29.349167,1011.365,868.32682,50000.383
29.392841,1059.6059,916.1319,50000.383
29.433716,1116.682,972.79964,50000.383
29.471821,1180.368,1036.1046,50000.383
29.507207,1264.1676,1119.5501,50000.383
29.539486,1372.9013,1227.9603,50000.383
29.567548,1563.0694,1417.8471,50000.383
29.59087,1923.3161,1777.8598,50000.383
29.609795,2546.9984,2401.352,50000.383
29.62445,3589.8998,3444.1063,50000.383
29.63535,5119.8844,4973.9814,50000.383
29.642896,6615.9797,6470.0008,50000.383
29.648569,7848.5567,7702.5208,50000.383
29.65345,9335.4906,9189.4057,50000.383
29.657674,10622.083,10475.956,50000.383
29.661512,11523.446,11377.28,50000.383
29.665038,11653.825,11507.624,50000.383
29.668486,11590.727,11444.491,50000.383
29.671988,11377.252,11230.98,50000.383
29.675418,11565.767,11419.461,50000.383
29.678867,11676.852,11530.512,50000.383
29.682264,11835.733,11689.358,50000.383
29.68557,12157.122,12010.714,50000.383
29.688959,12081.039,11934.597,50000.383
29.692439,11289.76,11143.283,50000.383
29.696064,10816.714,10670.201,50000.383
29.699682,10448.452,10301.902,50000.383
29.703396,10235.758,10089.171,50000.383
29.707307,10269.115,10122.489,50000.383
29.711327,10052.98,9906.3129,50000.383
29.71552,9262.5572,9115.8478,50000.383
29.720074,8291.4584,8144.7031,50000.383
29.725098,7426.954,7280.148,50000.383
29.730876,6467.8245,6320.9604,50000.383
29.73753,5568.1996,5421.2684,50000.383
29.746145,4351.8839,4204.8659,50000.383
29.758672,2951.8437,2804.6994,50000.383
29.77786,1850.5802,1703.2424,50000.383
29.805513,1213.8831,1066.2664,50000.383
29.842202,870.22545,722.23815,50000.383
29.888104,688.72393,540.27256,50000.383
29.942307,591.69372,442.69364,50000.383
30.00252,542.3597,392.74914,50000.383
30.065916,514.12229,363.86795,50000.383
30.13018,497.33186,346.42382,50000.383
