[Header]
STARTUPAXIS, X, 1, LINEAR, AUTO
STARTUPAXIS, Y1, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
[Data]
Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe),Wire Heat Loss (W), T minus Tb (K), Heater Power Heating (W), Heater Power Cooling (W), Heating Rate Heating (K/s), Heating Rate Cooling (K/s)
37.452238,725.76715,493.35687,60000.223,1.617075E-5,0.39086309,8.3371966E-5,0,0.092593356,-0.022280907
37.48134,724.8808,492.11051,60000.223,1.7615685E-5,0.41996461,8.3369622E-5,0,0.090709998,-0.024301493
37.510441,727.09632,493.96572,60000.223,1.8781211E-5,0.44906612,8.3367275E-5,0,0.088827384,-0.02583043
37.539543,729.91858,496.42737,60000.223,1.9897155E-5,0.47816763,8.3364911E-5,0,0.086951829,-0.027259417
37.568644,731.60853,497.75643,60000.223,2.114991E-5,0.50726915,8.3362549E-5,0,0.08503542,-0.02890878
37.597746,733.14848,498.93519,60000.223,2.2511281E-5,0.53637066,8.336019E-5,0,0.082996707,-0.030704941
37.626847,738.79757,504.2228,60000.223,2.3452905E-5,0.56547217,8.3357881E-5,0,0.081084425,-0.031744697
37.655949,737.87079,502.93425,60000.223,2.4839354E-5,0.59457369,8.3355622E-5,0,0.079304221,-0.033663555
37.68505,737.99469,502.69608,60000.223,2.6058783E-5,0.6236752,8.3353317E-5,0,0.077635429,-0.035310258
37.714152,736.54134,500.88036,60000.223,2.740794E-5,0.65277671,8.3350994E-5,0,0.075953719,-0.037211679
37.743253,740.0186,503.99495,60000.223,2.8552715E-5,0.68187823,8.3348644E-5,0,0.074046692,-0.03858378
37.772355,744.24164,507.85502,60000.223,2.9689735E-5,0.71097974,8.3346346E-5,0,0.072095685,-0.039892601
37.801456,746.45281,509.70293,60000.223,3.0999196E-5,0.74008125,8.3344079E-5,0,0.070124838,-0.041528675
37.830558,750.38762,513.27417,60000.223,3.2098631E-5,0.76918277,8.3341732E-5,0,0.068288841,-0.042776067
37.85966,754.33151,516.85418,60000.223,3.3334482E-5,0.79828428,8.3339405E-5,0,0.066290381,-0.044190759
37.888761,756.46461,518.6231,60000.223,3.4722992E-5,0.82738579,8.3337107E-5,0,0.06426489,-0.045901675
