Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3881038395.91753,,1857,10.0001,10.0001,50000.266,9.8999999E-6,10.38148,0.22180864,13.137341,0.1271,14.278081,0.03694,27.415423,0.1271,4.2249882,2.2793931,0.072941198,87.975352,272.42372,2.695,1,,,,1.2417904E-5,5.0730242,107.77512,1.2654594,0
3881038523.79532,,1857,10.6782,10.6782,50000.324,9.8999999E-6,10.941201,0.20678352,15.531089,0.315,16.262686,0.0531,31.793775,0.315,4.8263092,2.5334491,0.088085751,86.982909,271.53084,3.622,1,,,,1.3014521E-5,4.5587862,119.70989,1.4195049,0
3881038653.72988,,1857,11.3558,11.3558,50000.457,9.8999999E-6,11.54411,0.22283989,18.19268,0.2148,18.508355,0.06172,36.701034,0.2148,4.9062127,2.7279843,0.093951266,87.078795,271.77926,2.878,1,,,,1.3962246E-5,5.0668982,133.26648,1.5759274,0
3881038783.32482,,1857,12.034,12.034,50000.266,9.8999999E-6,12.163551,0.23374984,21.363282,0.2402,20.999568,0.06389,42.36285,0.2402,2.1880477,2.9791265,0.10385175,86.898659,271.4306,2.825,1,,,,1.4785606E-5,5.4559687,147.95197,1.7563359,0
3881038916.72092,,1857,12.7118,12.7118,50000.289,9.8999999E-6,12.80164,0.24915789,24.832314,0.1457,23.729774,0.06314,48.562088,0.1457,0.13968544,3.2359338,0.11583268,86.533364,271.6943,2.349,1,,,,1.5641479E-5,5.958253,163.88199,1.939776,0
3881039050.23788,,1857,13.3899,13.3899,50000.383,9.8999999E-6,13.452546,0.26195214,28.813635,0.1572,26.747715,0.06491,55.56135,0.1572,0.31306818,3.5240479,0.12974813,86.128037,271.70105,2.313,1,,,,1.6476599E-5,6.4718675,180.971,2.1418722,0
3881039184.58398,,1857,14.0679,14.0679,50000.289,9.8999999E-6,14.11519,0.27794154,33.146838,0.2032,30.013352,0.07369,63.16019,0.2032,2.6759403,3.8089127,0.14234464,85.888375,272.07582,2.376,1,,,,1.7363151E-5,7.0480959,199.23859,2.3483097,0
3881039321.28877,,1857,14.7455,14.7455,50000.371,9.8999999E-6,14.784681,0.29108151,37.956139,0.234,33.536017,0.09183,71.492156,0.234,1.5546066,4.1145438,0.15874798,85.407041,272.39426,2.383,1,,,,1.8247638E-5,7.6178254,218.58679,2.5672613,0
3881039460.9742,,1857,15.4237,15.4237,50000.41,9.8999999E-6,15.459597,0.30712046,43.207062,0.2971,37.240799,0.1171,80.447861,0.2971,1.6372581,4.4471911,0.17692625,84.919663,272.78494,2.45,1,,,,1.9056767E-5,8.2290876,238.99915,2.7948375,0
3881039601.42599,,1857,16.1019,16.1019,50000.164,9.8999999E-6,16.138217,0.32356703,48.856407,0.3122,41.139359,0.1362,89.995767,0.3122,3.3797137,4.7617735,0.19221557,84.650538,273.32365,2.412,1,,,,1.995458E-5,8.8943821,260.44205,3.0273733,0
