Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3881053955.86131,,1857,10,10,60000.426,9.8999999E-6,10.366789,0.22222829,12.983884,0.1083,14.27227,-0.008951,27.256154,0.1083,4.4515407,2.2666085,0.070284988,88.328795,273.10577,2.583,1,,,,1.2397554E-5,5.0730242,107.47031,1.2524499,0
3881054082.31027,,1857,10.6781,10.6781,60000.199,9.8999999E-6,10.931286,0.20632239,15.392794,0.1843,16.261673,0.04422,31.654466,0.1843,3.8489311,2.5220537,0.087597854,87.000854,272.09479,2.896,1,,,,1.3011072E-5,4.5332169,119.49301,1.4081412,0
3881054210.76171,,1857,11.3562,11.3562,60000.297,9.8999999E-6,11.537838,0.22311326,18.056594,0.1711,18.523217,0.07199,36.57981,0.1711,4.060993,2.7416038,0.095613322,86.931629,272.31229,2.677,1,,,,1.3849573E-5,5.0441075,133.1217,1.5649894,0
3881054340.00866,,1857,12.0341,12.0341,60000.426,9.8999999E-6,12.161158,0.2350393,21.156607,0.1951,21.041221,0.07603,42.197828,0.1951,3.3751817,2.9687559,0.10340632,86.920402,272.25801,2.654,1,,,,1.4771821E-5,5.4832076,147.89376,1.7396869,0
3881054472.75827,,1857,12.7119,12.7119,60000.324,9.8999999E-6,12.801551,0.24929477,24.657725,0.1461,23.792497,0.06674,48.450223,0.1461,0.90073298,3.2110379,0.11011001,87.080642,272.33217,2.36,1,,,,1.5689895E-5,5.9375118,163.87971,1.9261514,0
3881054605.45988,,1857,13.3901,13.3901,60000.414,9.8999999E-6,13.453266,0.26185034,28.474559,0.2026,26.815164,0.06179,55.289723,0.2026,0.61636597,3.5322454,0.13422559,85.730368,272.78994,2.471,1,,,,1.6372488E-5,6.4220759,180.99036,2.1165537,0
3881054740.98431,,1857,14.0681,14.0681,60000.223,9.8999999E-6,14.118401,0.27863666,33.093892,0.25,30.072743,0.0719,63.166635,0.25,0.95375557,3.8256326,0.14554056,85.654721,272.28278,2.505,1,,,,1.7301973E-5,7.0644908,199.32924,2.3440255,0
3881054876.02102,,1857,14.7457,14.7457,60000.313,9.8999999E-6,14.789161,0.29274647,37.759481,0.3669,33.582119,0.09227,71.3416,0.3669,5.0042962,4.0861589,0.15263169,85.861333,272.94914,2.705,1,,,,1.8297531E-5,7.6512652,218.71927,2.5531862,0
3881055014.27723,,1857,15.4236,15.4236,60000.313,9.8999999E-6,15.463208,0.30698401,42.867702,0.5397,37.285612,0.1153,80.153314,0.5397,5.3018774,4.4263176,0.17526624,85.008448,273.56669,2.968,1,,,,1.9061522E-5,8.1723178,239.11082,2.7722385,0
3881055154.52472,,1857,16.1019,16.1019,60000.414,9.8999999E-6,16.140889,0.32113927,48.746355,0.6564,41.214023,0.1325,89.960379,0.6564,0.89508184,4.7520141,0.19060365,84.753904,273.57464,3.048,1,,,,1.9975082E-5,8.8526352,260.52831,3.0200539,0
3881055295.62468,,1857,16.7796,16.7796,60000.453,9.8999999E-6,16.824902,0.33642377,54.803433,0.4137,45.315367,0.1374,100.1188,0.4137,4.0967665,5.0837326,0.20937665,84.30319,274.23882,2.526,1,,,,2.0842742E-5,9.5040282,283.07733,3.2572809,0
3881055440.97005,,1857,17.4575,17.4575,60000.313,9.8999999E-6,17.504987,0.35138359,61.599946,0.3883,49.584756,0.1409,111.1847,0.3883,9.9783218,5.4359995,0.22794652,83.948808,274.40238,2.417,1,,,,2.1709731E-5,10.167465,306.42456,3.5189942,0
3881055587.51821,,1857,18.1356,18.1356,60000.285,9.8999999E-6,18.186044,0.36460203,68.910157,0.3521,54.119688,0.1573,123.02984,0.3521,2.664522,5.8066776,0.24793521,83.584702,274.59482,2.313,1,,,,2.2555231E-5,10.871999,330.73221,3.7891779,0
3881055737.21097,,1857,18.8135,18.8135,60000.398,9.8999999E-6,18.868166,0.37932912,77.018159,0.3444,58.863013,0.1818,135.88117,0.3444,2.3469609,6.1977317,0.26790384,83.288522,274.48964,2.257,1,,,,2.3405979E-5,11.613355,356.00768,4.0819103,0
3881055889.6633,,1857,19.4919,19.4919,60000.359,9.8999999E-6,19.550252,0.39345657,85.844979,0.2936,63.822251,0.1998,149.66723,0.2936,1.8605052,6.6129009,0.29184715,82.837658,274.26201,2.163,1,,,,2.4251809E-5,12.395463,382.21234,4.390991,0
3881056044.31862,,1857,20.1692,20.1692,60000.477,9.8999999E-6,20.232472,0.40798703,95.372722,0.361,68.952988,0.211,164.32571,0.361,1.9857335,7.0531337,0.3167972,82.417487,273.98332,2.199,1,,,,2.5057497E-5,13.225802,409.35292,4.7138443,0
3881056201.78742,,1857,20.8473,20.8473,60000.402,9.8999999E-6,20.914149,0.42252734,105.79205,0.3921,74.173678,0.2307,179.96573,0.3921,2.4593069,7.5027666,0.34010707,82.108772,273.5081,2.194,1,,,,2.5885596E-5,14.106267,437.40163,5.0583961,0
3881056362.60485,,1857,21.5252,21.5252,60000.414,9.8999999E-6,21.595927,0.43498841,117.25292,0.5069,79.509276,0.2639,196.76219,0.5069,2.3212208,8.0014308,0.36630893,81.756726,272.79254,2.252,1,,,,2.664114E-5,15.005533,466.38405,5.4293997,0
3881056524.94518,,1857,22.2038,22.2038,60000.453,9.8999999E-6,22.277759,0.44909421,130.1398,0.5359,84.995414,0.2921,215.13522,0.5359,2.6432931,8.5411228,0.39307605,81.442972,271.64339,2.233,1,,,,2.7398983E-5,16.002862,496.29853,5.8416919,0
3881056689.89613,,1857,22.8818,22.8818,60000.402,9.8999999E-6,22.960776,0.46302501,144.4427,0.5449,90.753705,0.3032,235.19641,0.5449,1.9631886,9.1393515,0.4232349,81.081552,270.21559,2.201,1,,,,2.8119868E-5,17.082246,527.19724,6.2908458,0
3881056859.51519,,1857,23.5594,23.5594,60000.441,9.8999999E-6,23.643965,0.4772699,160.2245,0.5189,96.704878,0.315,256.92938,0.5189,1.0043021,9.7710978,0.4535539,80.758564,268.55886,2.153,1,,,,2.8862036E-5,18.278703,559.03708,6.7765495,0
3881057035.82855,,1857,24.2375,24.2375,60000.137,9.8999999E-6,24.327846,0.49141234,178.43316,0.9626,102.72626,0.3487,281.15943,0.9626,2.8867613,10.454407,0.48145743,80.555605,266.26947,2.348,1,,,,2.9648261E-5,19.542196,591.84407,7.3345239,0
3881057215.15497,,1857,24.9151,24.9151,60000.164,9.8999999E-6,25.009725,0.50330643,199.58816,0.9066,108.89785,0.3948,308.48601,0.9066,2.1696796,11.285922,0.51652956,80.238885,263.28179,2.267,1,,,,3.0302204E-5,20.908815,625.48636,7.9804219,0
3881057400.51193,,1857,25.5936,25.5936,60000.125,9.8999999E-6,25.691852,0.51701849,224.80501,0.7904,115.24568,0.4292,340.05069,0.7904,1.4783689,12.242931,0.55164036,79.996805,259.39286,2.168,1,,,,3.0971195E-5,22.571844,660.07126,8.750051,0
3881057590.49463,,1857,26.2715,26.2715,60000.152,9.8999999E-6,26.374605,0.52756694,255.40987,1.436,121.81423,0.4506,377.2241,1.436,3.011525,13.361232,0.58786785,79.781524,254.45133,2.351,1,,,,3.1683109E-5,24.485862,695.61979,9.6839316,0
3881057789.49145,,1857,26.9495,26.9495,60000.152,9.8999999E-6,27.055686,0.5379713,295.30401,1.102,128.37347,0.4773,423.67747,1.102,0.63119319,14.874895,0.63337235,79.473471,247.63121,2.169,1,,,,3.2237583E-5,26.722464,732.01015,10.914674,0
