Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (�J/K),Samp HC Err (�J/K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (�J/K/K),Addenda Offset HC (�J/K)
3926009867.91584,Error: Temperature of platform does not match the system temperature : System = 2.0497 K;  Platform = 1.9722 K
3926009926.6541,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\Standard\Puck1992.cal|Addenda #187 measured on 8/24/2023 from 1.8005 to 301.49 K
3926009926.65638,,1857,2.05002,2.05002,60000.426,9.8999999E-6,1.9919615,0.044167995,0.063884021,0.01355,0.40097651,0.01226,0.46486053,0.005787,0.70183438,0.27145012,,,308.53529,29.15,1,,,,1.7125081E-6,1.3939188,3.9679107,0.032070911,0
3926010051.2697,,1857,2.77552,2.77552,60000.273,9.8999999E-6,2.6236931,0.049716281,0.20788384,0.0471,0.62398136,0.04045,0.8318652,0.02415,1.1987372,0.35827278,,,274.238,26.89,1,,,,2.3218766E-6,1.3572506,6.8837656,0.079233292,0
3926010174.96463,,1857,3.49449,3.49449,60000.453,9.8999999E-6,3.279343,0.064130014,0.44242866,0.06567,0.95515997,0.06307,1.3975886,0.01828,1.797455,0.4692654,,,266.47749,20.8,1,,,,2.9782478E-6,1.7913639,10.75409,0.13491381,0
3926010299.27439,,1857,4.21824,4.21824,60000.348,9.8999999E-6,3.9450439,0.076271705,0.82485626,0.08193,1.4049422,0.0801,2.2297984,0.08193,1.0300613,0.60414861,0.0019626091,98.620197,260.44244,16.78,1,,,,3.6979006E-6,2.346327,15.563371,0.20908671,0
3926010425.49704,,1857,4.94078,4.94078,60000.285,9.8999999E-6,4.6229452,0.090267444,1.2035931,0.09253,1.9860711,0.09199,3.1896642,0.009935,1.2071983,0.715504,,,269.10003,15.62,1,,,,4.4579265E-6,3.020743,21.371623,0.26035202,0
3926010553.30121,,1857,5.66408,5.66408,60000.164,9.8999999E-6,5.307063,0.10285923,1.6624715,0.1015,2.7088279,0.09933,4.3712994,0.02071,0.090463547,0.83030077,,,277.39013,14.81,1,,,,5.264718E-6,3.57752,28.164917,0.31325641,0
3926010682.34342,,1857,6.39758,6.39758,60000.199,9.8999999E-6,5.9947448,0.11543666,2.527127,0.1323,3.5780098,0.103,6.1051368,0.083,1.0730459,0.994714,,,272.51037,13.85,1,,,,6.1375801E-6,4.1515038,35.936966,0.42155706,0
3926010817.7812,,1857,7.11198,7.11198,60000.336,9.8999999E-6,6.6921275,0.12958325,3.7271209,0.116,4.619951,0.105,8.3470719,0.04931,1.445821,1.1910898,,,267.25622,11.85,1,,,,7.0079285E-6,4.97357,44.78457,0.55694111,0
3926010951.12405,,1857,7.83067,7.83067,60000.453,9.8999999E-6,7.3833185,0.14379134,5.1733468,0.1161,5.8239881,0.1074,10.997335,0.04404,2.0383754,1.3894534,,,264.33163,11,1,,,,7.9148643E-6,5.9554488,54.513392,0.70068043,0
3926011098.37279,,1857,8.55857,8.55857,60000.348,9.8999999E-6,8.0868834,0.1564832,7.0388324,0.1449,7.2376685,0.1126,14.276501,0.09122,0.72504904,1.6139509,,,261.27779,10.72,1,,,,8.8456847E-6,6.9472669,65.397684,0.87040112,0
3926011253.73344,,1857,9.27872,9.27872,60000.402,9.8999999E-6,8.7918099,0.17534274,9.2446435,0.1351,8.850851,0.1228,18.095495,0.1351,1.1662267,1.8435423,5.8466402E-6,99.998731,259.37997,10.16,1,,,,9.8156438E-6,8.0697546,77.295922,1.0515063,0
3926011423.67327,,1857,9.99749,9.99749,60000.164,9.8999999E-6,9.4970389,0.18405334,11.535783,0.1629,10.692027,0.1402,22.227811,0.08301,1.5622884,2.057919,,,260.25199,10.15,1,,,,1.0801111E-5,9.2177115,90.193748,1.2146716,0
