Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
27.729828,532.1828,405.06187,30000.342
27.840794,547.53341,419.35612,30000.342
27.94582,560.87688,431.69695,30000.342
28.045798,574.74604,444.60909,30000.342
28.141173,588.53637,457.4841,30000.342
28.232023,604.00331,472.07699,30000.342
28.318758,619.0519,486.28916,30000.342
28.401469,634.0038,500.44164,30000.342
28.480358,650.18459,515.85832,30000.342
28.555732,667.23365,532.17579,30000.342
28.627569,684.50045,548.74397,30000.342
28.696253,704.15333,567.72762,30000.342
28.761785,722.82021,585.75485,30000.342
28.824294,742.29414,604.61757,30000.342
28.884036,763.35139,625.0897,30000.342
28.940998,785.52835,646.70789,30000.342
28.995351,809.78744,670.43301,30000.342
29.047105,837.57867,697.71506,30000.342
29.096325,866.00598,725.65746,30000.342
29.14325,895.48887,754.67744,30000.342
29.187791,927.75131,786.49994,30000.342
29.230127,961.89232,820.22232,30000.342
29.270319,998.02748,855.95958,30000.342
29.308539,1038.1695,895.72281,30000.342
29.344571,1087.0299,944.22577,30000.342
29.378639,1135.3831,992.24069,30000.342
29.410827,1191.015,1047.5527,30000.342
29.440935,1258.8648,1115.1029,30000.342
29.469048,1337.3553,1193.3136,30000.342
29.494659,1449.6636,1305.3667,30000.342
29.517231,1662.3834,1517.8615,30000.342
29.536144,2030.7675,1886.057,30000.342
29.551679,2617.9771,2473.1115,30000.342
29.564072,3544.4424,3399.453,30000.342
29.573526,4658.4253,4513.3416,30000.342
29.580637,5664.4334,5519.2786,30000.342
29.586284,6642.9229,6497.7117,30000.342
29.591129,7910.948,7765.6884,30000.342
29.595323,9160.9479,9015.6463,30000.342
29.599066,10356.794,10211.455,30000.342
29.602464,10753.174,10607.802,30000.342
29.605702,10599.775,10454.37,30000.342
29.609001,10281.447,10136.009,30000.342
29.612305,10225.333,10079.862,30000.342
29.615541,10386.118,10240.614,30000.342
29.618769,10742.883,10597.347,30000.342
29.622019,10795.633,10650.065,30000.342
29.625167,11054.87,10909.27,30000.342
29.628301,10806.817,10661.186,30000.342
29.631383,10782.871,10637.209,30000.342
29.63444,11096.48,10950.787,30000.342
29.637545,11296.618,11150.894,30000.342
29.640651,10901.921,10756.167,30000.342
29.643744,11022.694,10876.908,30000.342
29.646888,10483.533,10337.716,30000.342
29.650217,9910.3148,9764.4642,30000.342
29.653672,9668.605,9522.7199,30000.342
29.657286,9201.8169,9055.8956,30000.342
29.661035,8537.5084,8391.5496,30000.342
29.665192,8019.0234,7873.023,30000.342
29.669688,7261.5815,7115.536,30000.342
29.674676,6368.9191,6222.8237,30000.342
29.680505,5478.7783,5332.6245,30000.342
29.687558,4467.7305,4321.5061,30000.342
29.696813,3386.7787,3240.4615,30000.342
29.710309,2298.9166,2152.4642,30000.342
29.72961,1537.7745,1391.1285,30000.342
29.755775,1085.0061,938.09756,30000.342
29.78923,826.72706,679.48252,30000.342
29.829889,680.659,533.00576,30000.342
29.876931,600.8889,452.76221,30000.342
29.928036,556.04343,407.40172,30000.342
29.981588,528.76902,379.58688,30000.342
30.036279,510.9008,361.16593,30000.342
30.091181,499.04301,348.75249,30000.342
30.145817,489.35122,338.50692,30000.342
30.199792,480.74627,329.35412,30000.342
30.25318,473.74046,321.80564,30000.342
30.305618,467.90846,315.43991,30000.342
30.357006,462.84185,309.84953,30000.342
30.407546,457.72916,304.22106,30000.342
30.456937,453.26353,299.2507,30000.342
30.505334,448.60543,294.09742,30000.342
30.552589,443.68246,288.69035,30000.342
30.598784,439.56823,284.10233,30000.342
30.643981,436.07641,280.14641,30000.342
30.688168,430.29666,273.91241,30000.342
30.731245,426.73559,269.90803,30000.342
30.773244,422.55162,265.29136,30000.342
30.814228,418.56311,260.88019,30000.342
30.854269,414.74959,256.65331,30000.342
30.893288,411.27853,252.77904,30000.342
30.931181,406.01173,247.1203,30000.342
30.968259,401.71751,242.4422,30000.342
28.431396,743.30216,609.45031,30000.342
28.45135,745.86318,611.81806,30000.342
28.471625,749.10191,614.8603,30000.342
28.492001,755.14824,620.70906,30000.342
28.512644,756.82775,622.18829,30000.342
28.533596,766.18353,631.34068,30000.342
28.554726,773.71828,638.6702,30000.342
28.575965,781.44224,646.18775,30000.342
28.597345,787.30911,651.84672,30000.342
28.619022,796.21348,660.5402,30000.342
28.640834,800.96741,665.08178,30000.342
28.662818,809.02971,672.92994,30000.342
28.684903,817.2,680.88498,30000.342
28.707185,826.61341,690.08108,30000.342
28.72963,836.01487,699.26351,30000.342
28.752231,843.75776,706.78572,30000.342
28.774877,851.59373,714.40044,30000.342
28.797667,861.15831,723.74222,30000.342
28.820604,871.95771,734.31724,30000.342
28.843634,883.1161,745.25022,30000.342
28.866773,892.98622,754.8937,30000.342
28.889904,903.24672,764.92751,30000.342
28.913105,916.34829,777.80155,30000.342
28.936379,929.56613,790.79101,30000.342
28.959632,944.37286,805.36943,30000.342
28.982847,960.79303,821.5615,30000.342
29.006003,975.15046,835.69129,30000.342
29.029026,995.54415,855.85849,30000.342
29.052244,1006.8205,866.90623,30000.342
29.075183,1024.9848,884.84465,30000.342
29.098059,1043.5488,903.18316,30000.342
29.120873,1062.4656,921.87501,30000.342
29.143524,1082.6789,941.8648,30000.342
29.16612,1111.7336,970.69638,30000.342
29.18822,1132.432,991.17641,30000.342
29.21041,1155.3173,1013.8424,30000.342
29.23228,1183.7483,1042.057,30000.342
29.253693,1219.6971,1077.7938,30000.342
29.274991,1247.4486,1105.3344,30000.342
29.295805,1287.2324,1144.9119,30000.342
29.316474,1324.4856,1181.9602,30000.342
29.336581,1357.2063,1214.4814,30000.342
29.356287,1398.4216,1255.5012,30000.342
29.375612,1460.749,1317.6366,30000.342
29.394212,1517.427,1374.1298,30000.342
29.412235,1607.511,1464.0347,30000.342
29.428922,1737.177,1593.5346,30000.342
29.443862,1979.5446,1835.7537,30000.342
29.456648,2420.8648,2276.9465,30000.342
29.467405,3129.0588,2985.0334,30000.342
29.476133,4123.8001,3979.6878,30000.342
29.482947,5248.1288,5103.9486,30000.342
29.488454,5990.5206,5846.2855,30000.342
29.493283,6320.7418,6176.4586,30000.342
