[Header]
STARTUPAXIS, X, 1, LINEAR, AUTO
STARTUPAXIS, Y1, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
[Data]
Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe),Wire Heat Loss (W), T minus Tb (K), Heater Power Heating (W), Heater Power Cooling (W), Heating Rate Heating (K/s), Heating Rate Cooling (K/s)
37.64925,739.76138,504.31599,70000.234,1.6563224E-5,0.39975215,8.9008802E-5,0,0.097931009,-0.022389955
37.680913,738.4867,502.64607,70000.234,1.8205196E-5,0.43141466,8.9006215E-5,0,0.095873114,-0.024652029
37.712575,741.13553,504.89935,70000.234,1.9459022E-5,0.46307716,8.9003596E-5,0,0.093835163,-0.026255687
37.744238,743.37862,506.74659,70000.234,2.0701281E-5,0.49473967,8.9000846E-5,0,0.091877225,-0.02784756
37.7759,745.69409,508.66591,70000.234,2.2033943E-5,0.52640218,8.89981E-5,0,0.08980111,-0.029548234
37.807563,748.92943,511.50481,70000.234,2.3393477E-5,0.55806469,8.899536E-5,0,0.087594212,-0.031235889
37.839225,749.7953,511.97394,70000.234,2.4744329E-5,0.5897272,8.8992659E-5,0,0.085687827,-0.033001445
37.870888,751.94318,513.72477,70000.234,2.5990792E-5,0.62138971,8.8989972E-5,0,0.083781836,-0.034564835
37.90255,756.65605,518.04029,70000.234,2.725166E-5,0.65305222,8.8987305E-5,0,0.081590103,-0.036015915
37.934213,759.0768,520.06338,70000.234,2.8672158E-5,0.68471473,8.8984713E-5,0,0.079455142,-0.037772408
37.965875,762.67546,523.26408,70000.234,2.9972503E-5,0.71637724,8.898213E-5,0,0.077371871,-0.039299157
37.997538,765.65376,525.84411,70000.234,3.1254399E-5,0.74803975,8.8979413E-5,0,0.075393105,-0.040820539
38.0292,766.45282,526.2446,70000.234,3.2549008E-5,0.77970226,8.8976656E-5,0,0.073621815,-0.042467073
38.060863,759.58667,518.97956,70000.234,3.4015238E-5,0.81136477,8.8973915E-5,0,0.072353398,-0.044781247
38.092525,743.16697,502.16067,70000.234,3.5577323E-5,0.84302727,8.8971226E-5,0,0.071846443,-0.047872583
38.124188,718.27378,476.86797,70000.234,3.7254664E-5,0.87468978,8.8968536E-5,0,0.071997439,-0.051866942
38.15585,693.73254,451.92692,70000.234,3.8848521E-5,0.90635229,8.8965892E-5,0,0.072243073,-0.055999277
38.187513,675.48243,433.27667,70000.234,4.0005451E-5,0.9380148,8.8963317E-5,0,0.072478372,-0.059225006
38.219175,659.34816,416.74196,70000.234,4.1113982E-5,0.96967731,8.8960851E-5,0,0.072566925,-0.062355497
38.250838,650.59572,407.58876,70000.234,4.23244E-5,1.0013398,8.8958365E-5,0,0.071678868,-0.065054839
38.2825,645.2077,401.79966,70000.234,4.358358E-5,1.0330023,8.8955806E-5,0,0.070321891,-0.067549691
38.314163,641.60476,397.79533,70000.234,4.4931176E-5,1.0646648,8.8953188E-5,0,0.068612352,-0.070029368
38.345825,639.07741,394.86626,70000.234,4.633848E-5,1.0963273,8.8950541E-5,0,0.066677464,-0.072508399
38.377488,636.96513,392.35195,70000.234,4.773053E-5,1.1279899,8.8947949E-5,0,0.064709066,-0.074934291
38.40915,635.5534,390.53788,70000.234,4.9030874E-5,1.1596524,8.894539E-5,0,0.062802774,-0.07714674
38.440813,634.83575,389.41757,70000.234,5.0247232E-5,1.1913149,8.8942832E-5,0,0.060953717,-0.079149973
38.472475,633.54199,387.72083,70000.234,5.1515942E-5,1.2229774,8.8940263E-5,0,0.059071572,-0.081314173
38.504138,631.85579,385.63135,70000.234,5.2783644E-5,1.2546399,8.8937689E-5,0,0.057218825,-0.083537486
38.5358,630.3228,383.69477,70000.234,5.4090921E-5,1.2863024,8.8935139E-5,0,0.055279958,-0.085814634
38.567463,630.45265,383.42071,70000.234,5.5550414E-5,1.3179649,8.8932613E-5,0,0.052949572,-0.088111953
38.599125,629.99813,382.56197,70000.234,5.6944265E-5,1.3496274,8.8930028E-5,0,0.050771202,-0.090387991
38.630788,630.68089,382.84021,70000.234,5.840902E-5,1.3812899,8.8927456E-5,0,0.048389664,-0.092612635
38.66245,630.89203,382.64652,70000.234,5.9822775E-5,1.4129524,8.8924948E-5,0,0.046128612,-0.094822524
38.694113,630.64728,381.99663,70000.234,6.1186828E-5,1.4446149,8.8922379E-5,0,0.043979498,-0.097022266
38.725775,631.00725,381.95116,70000.234,6.2591629E-5,1.4762775,8.8919811E-5,0,0.041724055,-0.099193202
38.757438,630.93472,381.47289,70000.234,6.3949785E-5,1.50794,8.8917245E-5,0,0.039572177,-0.10135721
38.7891,630.99485,381.12697,70000.234,6.5261182E-5,1.5396025,8.8914735E-5,0,0.037486127,-0.10342586
38.820763,630.29357,380.01934,70000.234,6.6489445E-5,1.571265,8.8912013E-5,0,0.0355748,-0.10548965
38.852425,629.94474,379.26386,70000.234,6.7792571E-5,1.6029275,8.8909499E-5,0,0.033521874,-0.1076167
38.884088,631.32557,380.23774,70000.234,6.9284032E-5,1.63459,8.8906976E-5,0,0.031082131,-0.10974374
