Temperature (K), HCTotal (uJ/K), HCSample (�J/K), Field (Oe),Wire Heat Loss (W), T minus Tb (K), Heater Power Heating (W), Heater Power Cooling (W), Heating Rate Heating (K/s), Heating Rate Cooling (K/s)
37.352031,722.14599,490.76785,30000.318,1.2492645E-5,0.31074096,9.0250264E-5,0,0.10767576,-0.017299335
37.388521,717.39325,485.56296,30000.318,1.465089E-5,0.34723098,9.0247141E-5,0,0.10537631,-0.020422398
37.425011,720.97249,488.68962,30000.318,1.607858E-5,0.38372099,9.0243997E-5,0,0.10286858,-0.02230124
37.461501,725.65029,492.91441,30000.318,1.7472746E-5,0.42021101,9.0240768E-5,0,0.10027974,-0.024078742
37.497991,727.49217,494.30287,30000.318,1.9130525E-5,0.45670103,9.0237535E-5,0,0.097742646,-0.026296538
37.534481,731.57231,497.92915,30000.318,2.0465151E-5,0.49319104,9.0234416E-5,0,0.095368926,-0.027974201
37.570971,731.18889,497.09145,30000.318,2.2111827E-5,0.52968106,9.0231331E-5,0,0.093162663,-0.030240923
37.607461,733.99903,499.44687,30000.318,2.3632491E-5,0.56617108,9.0228294E-5,0,0.090730096,-0.032196896
37.643951,733.98505,498.97773,30000.318,2.5122988E-5,0.60266109,9.0225171E-5,0,0.088696879,-0.034228202
37.680441,739.9678,504.50489,30000.318,2.6469056E-5,0.63915111,9.0221894E-5,0,0.086156234,-0.035770551
37.716931,739.73611,503.81718,30000.318,2.8377111E-5,0.67564113,9.0218769E-5,0,0.08359962,-0.038361127
37.753421,744.11796,507.74256,30000.318,3.0102656E-5,0.71213114,9.0215706E-5,0,0.080784303,-0.040454145
37.789911,750.71858,513.88627,30000.318,3.1332221E-5,0.74862116,9.0212587E-5,0,0.078432009,-0.041736307
37.826401,750.13105,512.84139,30000.318,3.3023129E-5,0.78511118,9.0209631E-5,0,0.076235348,-0.044023147
37.862891,751.77913,514.03168,30000.318,3.4550737E-5,0.82160119,9.0206434E-5,0,0.074031978,-0.045958628
37.899381,755.81718,517.61149,30000.318,3.5922763E-5,0.85809121,9.0203306E-5,0,0.071817026,-0.047528376
37.935871,759.57084,520.90646,30000.318,3.7253478E-5,0.89458122,9.0200095E-5,0,0.069705963,-0.049045429
37.972361,762.58972,523.46619,30000.318,3.8824917E-5,0.93107124,9.0197085E-5,0,0.067365409,-0.050911934
38.008851,764.26533,524.68221,30000.318,4.0550192E-5,0.96756126,9.0194032E-5,0,0.06495629,-0.05305774
38.045341,761.44817,521.40501,30000.318,4.2209341E-5,1.0040513,9.0190919E-5,0,0.063013584,-0.055432979
38.081831,746.09642,505.59275,30000.318,4.4132587E-5,1.0405413,9.0187773E-5,0,0.061728195,-0.059151319
38.118321,715.3613,474.39667,30000.318,4.5886342E-5,1.0770313,9.0184729E-5,0,0.061924495,-0.06414429
38.154811,683.26532,441.83928,30000.318,4.738814E-5,1.1135213,9.0181742E-5,0,0.062631017,-0.069355401
38.191301,658.9181,417.03019,30000.318,4.8608212E-5,1.1500113,9.0178648E-5,0,0.063088928,-0.073769732
38.227791,646.7426,404.39236,30000.318,5.0111796E-5,1.1865014,9.0175687E-5,0,0.061947197,-0.07748337
38.264281,643.07828,400.26526,30000.318,5.1616923E-5,1.2229914,9.0172666E-5,0,0.059954977,-0.080265381
38.300771,639.59871,396.32247,30000.318,5.3171996E-5,1.2594814,9.0169638E-5,0,0.057845085,-0.08313337
38.337261,635.83413,392.09421,30000.318,5.458213E-5,1.2959714,9.0166575E-5,0,0.055964982,-0.085843347
38.373751,632.65535,388.45131,30000.318,5.6024512E-5,1.3324614,9.0163528E-5,0,0.053961476,-0.088554553
38.410241,630.7427,386.0741,30000.318,5.7661083E-5,1.3689514,9.0160461E-5,0,0.051525571,-0.091417758
38.446731,630.8279,385.69429,30000.318,5.9292717E-5,1.4054415,9.0157555E-5,0,0.04892751,-0.093991907
38.483221,629.7014,384.10235,30000.318,6.0751307E-5,1.4419315,9.0154598E-5,0,0.046694022,-0.096476372
38.519711,630.74738,384.68244,30000.318,6.234741E-5,1.4784215,9.0151572E-5,0,0.044081295,-0.09884688
38.556201,630.0566,383.52534,30000.318,6.3840768E-5,1.5149115,9.0148688E-5,0,0.041754851,-0.10132545
38.592691,627.93726,380.93924,30000.318,6.5359648E-5,1.5514015,9.0145685E-5,0,0.039472156,-0.10408627
38.629181,631.64778,384.18257,30000.318,6.7085714E-5,1.5878915,9.0142727E-5,0,0.036502958,-0.10620747
38.665671,631.46588,383.53305,30000.318,6.8864047E-5,1.6243816,9.0139773E-5,0,0.033692597,-0.10905426
38.702161,628.22991,379.82903,30000.318,7.0028758E-5,1.6608716,9.0136638E-5,0,0.0320072,-0.11146995
38.738651,629.79052,380.92116,30000.318,7.1631394E-5,1.6973616,9.0133825E-5,0,0.029378707,-0.11373844
38.775141,631.67521,382.33694,30000.318,7.3418794E-5,1.7338516,9.0130597E-5,0,0.026456323,-0.11622871
