Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3881093433.20018,,1857,10.0002,10.0002,80000.375,9.8999999E-6,10.326297,0.22252149,12.803333,0.3315,14.157294,0.01456,26.960628,0.3315,1.8702252,2.2638283,0.069353781,88.462034,273.31183,4.137,1,,,,1.227103E-5,5.0730242,106.63241,1.2398765,0
3881093561.54092,,1857,10.6782,10.6782,80000.172,9.8999999E-6,10.90246,0.20687981,15.135615,0.6618,16.210398,0.06191,31.346013,0.6618,2.5692524,2.4928492,0.081856629,87.675068,272.90541,5.671,1,,,,1.3000982E-5,4.5276566,118.86364,1.3882751,0
3881093691.00524,,1857,11.3561,11.3561,80000.406,9.8999999E-6,11.51791,0.22224117,17.75272,0.3596,18.526077,0.08338,36.278798,0.3596,1.9424701,2.7280987,0.095533856,86.893094,273.38425,3.644,1,,,,1.3796628E-5,4.9856984,132.66225,1.5413144,0
3881093819.68169,,1857,12.0339,12.0339,80000.195,9.8999999E-6,12.150634,0.23463013,21.032519,0.5878,21.098066,0.08127,42.130585,0.5878,2.7000767,2.989971,0.10645556,86.655458,272.55633,4.305,1,,,,1.4652211E-5,5.4561973,147.63791,1.7309812,0
3881093951.44542,,1857,12.7121,12.7121,80000.32,9.8999999E-6,12.800498,0.25064155,24.502132,0.5903,23.89977,0.06712,48.401901,0.5903,14.809759,3.2365794,0.1158148,86.562936,272.88497,3.974,1,,,,1.5572554E-5,5.9799419,163.85274,1.9141546,0
3881094084.24216,,1857,13.39,13.39,80000.375,9.8999999E-6,13.460062,0.26323144,28.446433,1.13,26.954477,0.06161,55.40091,1.13,8.2940858,3.5119374,0.12719132,86.372336,273.01766,5.333,1,,,,1.6456998E-5,6.4731588,181.17326,2.1133955,0
3881094219.18032,,1857,14.0677,14.0677,80000.211,9.8999999E-6,14.12761,0.27885337,32.689691,0.7367,30.216168,0.07602,62.905859,0.7367,0.070290944,3.793621,0.14288229,85.819811,273.5789,3.848,1,,,,1.7352264E-5,7.0238749,199.58935,2.3138869,0
3881094356.21457,,1857,14.7458,14.7458,80000.148,9.8999999E-6,14.798192,0.29221489,37.592157,0.7626,33.719059,0.1004,71.311215,0.7626,0.090279877,4.1382345,0.16254474,85.18886,273.52055,3.649,1,,,,1.8100691E-5,7.587242,218.9865,2.5403208,0
3881094494.36362,,1857,15.4238,15.4238,80000.305,9.8999999E-6,15.475047,0.30925702,42.863372,0.834,37.426223,0.1232,80.289595,0.834,0.49798705,4.4088324,0.1712108,85.291315,273.78536,3.58,1,,,,1.9144248E-5,8.276469,239.47709,2.7698379,0
3881094634.06073,,1857,16.1015,16.1015,80000.297,9.8999999E-6,16.149577,0.3215747,48.488547,0.8695,41.350572,0.1381,89.839119,0.8695,4.7103621,4.7617789,0.19216341,84.687466,274.20728,3.453,1,,,,1.9904641E-5,8.8176648,260.80882,3.0024655,0
3881094776.19642,,1857,16.7796,16.7796,80000.422,9.8999999E-6,16.833493,0.33752023,54.528184,0.8375,45.490217,0.1423,100.0184,0.8375,3.2477355,5.0607172,0.20654606,84.463352,274.84031,3.232,1,,,,2.0892939E-5,9.5235579,283.36649,3.2392673,0
3881094919.85736,,1857,17.4576,17.4576,80000.195,9.8999999E-6,17.510735,0.35135135,61.17738,0.9921,49.764794,0.1463,110.94217,0.9921,5.3006809,5.4176554,0.22680508,84.007217,275.12422,3.315,1,,,,2.1718418E-5,10.121434,306.62585,3.4937071,0
3881095066.7093,,1857,18.1355,18.1355,80000.18,9.8999999E-6,18.190067,0.36497459,68.505949,0.9072,54.239726,0.1638,122.74567,0.9072,5.0459613,5.7925708,0.24690514,83.640227,275.19618,3.052,1,,,,2.2542557E-5,10.835311,330.87853,3.7661186,0
3881095215.06285,,1857,18.8136,18.8136,80000.242,9.8999999E-6,18.872296,0.38023983,76.36668,0.7115,58.883967,0.189,135.25065,0.7115,5.4585738,6.1583357,0.26541429,83.369768,275.33135,2.703,1,,,,2.3426181E-5,11.585142,356.16356,4.0464965,0
3881095367.05633,,1857,19.4918,19.4918,80000.297,9.8999999E-6,19.55256,0.39415484,85.064763,0.4644,63.748157,0.2057,148.81292,0.4644,1.5068264,6.5764632,0.2884259,82.974466,275.13515,2.356,1,,,,2.4219963E-5,12.316671,382.30262,4.3505689,0
3881095521.07382,,1857,20.1695,20.1695,80000.305,9.8999999E-6,20.234464,0.40914242,94.41779,0.443,68.849971,0.2143,163.26776,0.443,0.41045823,7.0100798,0.31266813,82.575473,274.93802,2.289,1,,,,2.5016726E-5,13.152926,409.43351,4.666187,0
3881095678.02838,,1857,20.8476,20.8476,80000.094,9.8999999E-6,20.916461,0.4217336,104.79791,0.4409,74.144876,0.2328,178.94278,0.4409,3.0983438,7.4783574,0.3395995,82.124087,274.40944,2.246,1,,,,2.5806499E-5,14.02016,437.49833,5.0103078,0
3881095838.19827,,1857,21.5255,21.5255,80000.375,9.8999999E-6,21.598478,0.43596757,116.48085,0.5385,79.528738,0.2664,196.00959,0.5385,0.84948915,7.9876278,0.36547055,81.804734,273.43465,2.284,1,,,,2.6567103E-5,14.956715,466.49426,5.3930119,0
3881095999.98703,,1857,22.2034,22.2034,80000.422,9.8999999E-6,22.281041,0.45104996,128.76509,0.747,85.067915,0.2959,213.833,0.747,6.8988028,8.4885163,0.3911354,81.489815,272.66393,2.394,1,,,,2.7375132E-5,15.975256,496.44481,5.7791323,0
3881096165.92058,,1857,22.881,22.881,80000.18,9.8999999E-6,22.963407,0.46401037,142.69236,1.079,90.783881,0.3072,233.47624,1.079,3.5892482,9.0537372,0.41875963,81.186416,271.37222,2.555,1,,,,2.8138599E-5,16.977033,527.31807,6.2139019,0
3881096334.76296,,1857,23.5595,23.5595,80000.234,9.8999999E-6,23.645647,0.47714383,158.67847,0.9895,96.667371,0.3188,255.34585,0.9895,5.6196248,9.7284403,0.45353859,80.742495,269.4728,2.433,1,,,,2.8795138E-5,18.107474,559.11664,6.7106843,0
3881096509.48013,,1857,24.2374,24.2374,80000.336,9.8999999E-6,24.32965,0.4933645,176.67015,0.8686,102.67332,0.353,279.34347,0.8686,0.96539381,10.452945,0.48611975,80.43838,267.20482,2.31,1,,,,2.9463897E-5,19.456881,591.93186,7.2615162,0
3881096688.90636,,1857,24.9153,24.9153,80000.406,9.8999999E-6,25.012867,0.50579493,197.56853,1.612,108.86001,0.3995,306.42854,1.612,2.1744998,11.197165,0.51277536,80.31021,264.25116,2.602,1,,,,3.0304744E-5,20.905889,625.64353,7.8986758,0
3881096874.36125,,1857,25.5934,25.5934,80000.406,9.8999999E-6,25.695286,0.51652305,221.97926,1.786,115.2426,0.4331,337.22186,1.786,5.06876,12.131288,0.54897021,80.026031,260.58925,2.586,1,,,,3.0963599E-5,22.394331,660.24774,8.6389097,0
